证券代码,交易日期,相对报价价差（等权平均）,相对有效价差（等权平均）,相对报价价差（时间加权平均）,相对有效价差（时间加权平均）,相对报价价差（成交量加权平均）,相对有效价差（成交量加权平均）,相对报价价差（成交金额加权平均）,相对有效价差（成交金额加权平均）,有效数据条数,
300445,2019/1/2,0.310384,0.273731,0.400233,0.329018,0.404558,0.377428,0.404794,0.377559,387,
300446,2019/1/2,0.162972,0.145022,0.184293,0.164439,0.221479,0.199031,0.221659,0.199159,406,
300447,2019/1/2,0.153578,0.141283,0.166175,0.15469,0.169936,0.151475,0.169888,0.151418,923,
300448,2019/1/2,0.176109,0.174344,0.18693,0.186403,0.235677,0.243712,0.236141,0.244162,437,
300449,2019/1/2,0.116223,0.118751,0.13116,0.130704,0.144473,0.157472,0.144628,0.157573,1407,
300450,2019/1/2,0.064998,0.067032,0.06627,0.067424,0.077775,0.083371,0.077813,0.083429,2921,
300451,2019/1/2,0.109034,0.115335,0.116582,0.120904,0.12417,0.14139,0.124146,0.141369,3171,
300452,2019/1/2,0.133247,0.125097,0.140915,0.129852,0.151798,0.147549,0.151814,0.147533,1446,
300453,2019/1/2,0.145147,0.154431,0.158225,0.163807,0.177734,0.216795,0.177903,0.216883,2242,
300454,2019/1/2,0.128822,0.124124,0.14368,0.133213,0.133162,0.134149,0.133773,0.134841,1639,
300455,2019/1/2,0.235698,0.233353,0.237632,0.231055,0.286952,0.285749,0.288006,0.286861,682,
