,,,LNCOMP,DC,DMC,SIZE,ROE,ALR,BOD
30,600208,2017,15-4486649970157,0-0162899360002222,0-0504490029902061,25-5481262825009,0-108451,0-735893,7
30,600208,2018,15-5019095115345,0-0160971043430981,0-0480647999797311,25-6639874363073,0-076146,0-754156,7
30,600208,2019,15-4869838613178,0-0241146435304025,0-0742966749664969,25-6933014785061,0-063541,0-755863,7
30,600208,2020,15-8169905581744,0-0283070069318807,0-143777755959384,25-6335986410228,0-087572,0-716046,7
31,600322,2016,15-730239589536,0-0132657056515503,0-0161068752306933,24-2637888402969,-86562,0-847636,11
31,600322,2017,15-8045075633743,0-00629144996112012,0-0506392317966849,24-2978302836674,0-051062,0-855395,11
31,600322,2018,15-6381224906751,0-00243717572624306,0-0723067122348359,24-1784141994979,0-030288,0-833801,9
31,600322,2019,15-651833174864,0-00311297604837453,0-0892012205128416,23-9649633062376,0-030873,0-787171,11
31,600322,2020,15-515648037645,0-00413998981995257,0-0545162967072658,23-8563075164814,-740937,0-886858,10
32,600325,2016,17-1271478629138,0-000654686660604472,0-0581537421809003,25-4576805474455,0-082359,0-795992,11
32,600325,2017,17-4790722040939,0-000590363070006892,0-141903637191486,25-6626389210352,0-130296,0-828783,11
32,600325,2018,17-7912048335766,0-00154169799835689,0-201095848134733,25-9284207023805,0-166446,0-823368,13
32,600325,2019,17-966592982644,0-0014058060003834,0-173265540440512,26-1790593557844,0-160824,0-815067,13
32,600325,2020,18-0958643137269,0-00102252445110465,0-0863708533466254,26-4973335225169,0-142228,0-80318,14
33,600340,2016,17-5224754796246,0-00265735475567445,0-00571963584841382,26-2443399951982,0-333863,0-847814,8
33,600340,2017,17-7038554360378,0-00321496943616959,0-0818916241435846,26-6524951120115,0-281184,0-811016,8
33,600340,2018,17-9621502459066,0-00271145340963937,0-035898673132738,26-7387199057782,0-290332,0-866453,9
33,600340,2019,18-9448369197754,0-00724155114520877,0-18305148046,26-8497243396803,0-311509,0-839047,9
33,600340,2020,18-7392617396997,0-0191359450226727,0-198995382232084,26-915142234529,0-065446,0-812936,9
34,600376,2016,16-5460851691452,0-00947259903911146,0-0409472284475807,25-9240662068319,0-076359,0-799095,9
34,600376,2017,16-3212160706671,0-00852292453799688,0-0115539063572558,26-2058336763168,0-082169,0-805892,8
34,600376,2018,16-3704095795723,0-00773196345512512,0-0105941014624444,26-397999450434,0-102808,0-815835,8
34,600376,2019,16-7133984433187,0-0104181351988544,0-0172084237422806,26-4382117811888,0-091357,0-809164,8
34,600376,2020,16-432081232931,0-00965368824107135,0-0000867716671529239,26-5158004171842,0-102795,0-804248,10
35,600383,2016,18-0478764180837,-1.35E+14,0-0293101589118836,25-7578406727463,0-177404,0-654349,14
35,600383,2017,18-2309719687244,-7.84E+14,0-0563060421913149,26-0605253512051,0-175016,0-721288,14
35,600383,2018,18-2368780908766,-3.08E+14,0-0390972157118913,26-3521632317724,0-185713,0-761177,14
35,600383,2019,18-2866921039491,0-000400495464381825,0-0550328411887271,26-5368468599779,0-200413,0-753986,14
35,600383,2020,18-3264799485535,-1.64E+14,0-0403608550932917,26-7187960705893,0-186387,0-765859,14
36,600466,2016,16-8380989556873,0-00564758091466827,0-171645649577271,25-0187088624361,0-094981,0-809038,9
36,600466,2017,17-1169244360784,0-0054661794614961,0-132484214902466,25-2796646344461,0-111433,0-800021,9
36,600466,2018,17-2064892394321,0-00469511817824662,0-177557338540988,25-7397551603618,0-146774,0-820433,8
36,600466,2019,17-2371933403157,0-00467159893470305,0-14684291020282,26-0309903938073,0-197816,0-806228,8
36,600466,2020,17-4546297525184,0-0016140032189407,0-128449108107167,26-2772486514564,0-17498,0-820354,9
37,600510,2016,15-8901907825424,-6.20E+14,0-148759719046679,23-6849348323251,0-05228,0-584758,9
37,600510,2017,16-0443091655837,-8.12E+14,0-0733278962679568,23-8180429060846,0-064244,0-630048,9
37,600510,2018,16-2082470927801,-4.92E+14,0-111192147814148,24-0263958152276,0-084932,0-682417,9
37,600510,2019,16-4788980651603,-6.63E+14,0-338897445897537,24-1491986808747,0-096134,0-690777,9
37,600510,2020,16-5764188285547,-6.05E+14,0-207237471298229,24-242095973555,0-092033,0-696088,9
38,600565,2016,16-2554372754213,0-0045578946275249,0-283625291986356,24-1409496999735,0-120311,0-752018,7
38,600565,2017,16-5676414383017,0-00358066541872248,0-172575799385008,24-349192032701,0-095365,0-793245,7
38,600565,2018,17-3681492381069,0-00460775448300454,0-069966835846629,24-7984622984312,0-129123,0-804419,7
38,600565,2019,17-4682601174205,0-00316908397365732,0-218541369779606,25-0070144074891,0-164552,0-79245,7
38,600565,2020,17-8710761761054,0-00215090383408911,0-221681383654592,25-1266593214962,0-181087,0-776219,7
39,600604,2016,15-0030795524645,0-0144056441899558,0-372332046249253,23-2757121513807,0-035837,0-545146,7
39,600604,2017,15-5383664374339,0-0166705527039591,0-324147505888602,23-2648002687602,0-040015,0-517657,7
39,600604,2018,14-5681994212325,0-0135034468308324,0-0658613098056251,23-5163122467334,0-039609,0-551006,7
39,600604,2019,15-186843553944,0-0208354296868623,0-166950788582805,23-6253976926408,0-034076,0-585484,7
39,600604,2020,15-2314365342088,0-0269294990604165,0-323025736771812,23-6734327273448,0-027594,0-561559,7
40,600639,2016,15-2602153266306,0-0116338019580957,0-336863041949375,23-6214745348531,0-069514,0-516845,8
40,600639,2017,15-1311946689166,0-00450747208441206,0-287688861746363,23-742938931581,0-083871,0-552082,9
40,600639,2018,15-4588280218321,0-0061015682513342,0-207700027732892,23-7361964705821,0-109928,0-554185,8
40,600639,2019,15-875233968778,0-0054994333241892,0-139695873911983,23-9262143057875,0-115642,0-587316,9
40,600639,2020,15-8332362576635,0-00612451373737531,0-281617348656127,24-1254667501157,0-107105,0-634317,8
41,600649,2016,14-986443508212,0-011497886520776,0-0473383766333701,24-52101389299,0-096245,0-472524,9
41,600649,2017,15-509160934082,0-00478091819016116,0-0679667294240065,24-3547709334703,0-084464,0-461135,9
41,600649,2018,15-3894663599527,-5.84E+13,0-0684558657020752,24-326647084467,0-054259,0-455316,8
41,600649,2019,15-5411658365893,0-00140228279141262,0-155398531547714,24-4078213440249,0-031786,0-485428,9
41,600649,2020,15-564901698825,0-00686641903664621,0-41862926714787,24-8426955055342,0-039228,0-652992,9
42,600663,2016,16-2669465976907,0-00940975158035812,0-360603719677757,25-1031120326961,0-154927,0-745864,9
42,600663,2017,16-1185755357952,0-0210047621941361,0-399322166363589,25-1199362327845,0-223751,0-751118,8
42,600663,2018,16-1119970924964,0-0178603766231249,0-360653278477101,25-0814178163167,0-220309,0-708238,9
42,600663,2019,16-3639943293934,0-0157546661059649,0-393949879768277,25-2389507739826,0-214961,0-682232,8
42,600663,2020,16-4176519449724,0-0152409823389045,0-375421034196187,25-3418886715801,0-209043,0-666738,9
43,600683,2016,16-1410990327233,0-00280004123749752,0-0364537275694703,24-0828206860022,0-139598,0-879376,8
43,600683,2017,16-6720152463489,0-00654091642219883,0-0426663139337163,24-0505823996191,0-142078,0-847414,9
43,600683,2018,16-8386585623227,0-00557261906284042,0-0112529676571761,24-1848551099483,0-145631,0-85517,9
43,600683,2019,16-918023338511,0-00564892896207205,0-011576226404044,24-5560880590863,0-029259,0-910461,9
43,600683,2020,16-1151613501053,0-00509558431656548,0-00298174551379901,24-6314723165402,0-109487,0-831151,9
44,600692,2016,15-6479800154401,0-010109805326348,0-863628165364582,21-6591063227901,0-077189,0-724498,8
44,600692,2017,15-3595135476129,0-0105337668492824,0-903799514955538,21-4638170377363,0-095936,0-630844,8
44,600692,2018,15-293654572714,0-0225854961042206,0-948102294338907,21-3809649302556,0-059812,0-572143,8
44,600692,2019,15-5351293494146,0-0160047328863101,0-714409286089058,21-668899982625,0-043742,0-659694,8
44,600692,2020,15-6860812076166,0-00540221765470251,0-660001295049806,21-7593141146091,0-068952,0-663729,8
45,600708,2016,16-211065002251,0-00852698271206939,0-447341705996977,24-6051692516775,0-12062,0-805648,9
45,600708,2017,16-6536236433647,0-00764251601464296,0-414826953713702,24-7151067660398,0-202662,0-799151,8
45,600708,2018,16-6909773421217,0-00772354475069433,0-376606173506633,25-0330674120841,0-122879,0-823752,6
45,600708,2019,16-7214165874139,0-0051765845835047,0-286400129712077,25-175662698868,0-042216,0-822982,6
45,600708,2020,15-7452826665156,0-00643647856452589,0-386795682587162,25-2031023832128,0-007571,0-834277,7
46,600748,2016,15-4683910282412,0-00770327826479593,0-134736869332599,24-274747595118,0-082434,0-70939,7
46,600748,2017,15-7732081047358,0-00840682593983908,0-117103827692789,24-3750199491135,0-059187,0-711824,7
46,600748,2018,16-2000442336055,0-00968728040136146,0-208167388340416,24-3297250963805,0-061973,0-705563,7
46,600748,2019,16-2982481904674,0-00694051909737004,0-265620811527669,24-3945248884584,0-077243,0-706981,7
46,600748,2020,16-4045519724843,0-0035833509861782,0-212047611077296,24-4388371435209,0-010645,0-706268,7
47,600848,2016,15-6730577677303,0-0219195427102347,0-168771955921522,23-0963211688869,0-091808,0-51026,8
47,600848,2017,16-1533662650402,0-0147105639081906,0-202543363317777,23-2971871397608,0-073624,0-430084,9
47,600848,2018,16-2856165497237,0-0197711006292915,0-166486534714566,23-4650422251,0-065371,0-481329,9
47,600848,2019,16-507797163887,0-0156570992114182,0-155954272986171,24-3550577303976,0-114272,0-568933,8
47,600848,2020,16-4979078522078,0-0141499363115164,0-261755435829029,24-4564062543073,0-100463,0-577381,11
48,600895,2016,15-3304399691639,0-0207851908687239,0-136367711153821,23-6698490454654,0-091896,0-554802,6
48,600895,2017,15-0732894968487,0-0280042028020208,0-211706178069335,23-666821493336,0-0561,0-545121,6
48,600895,2018,15-2773761059312,0-0208753967668813,0-124561824800833,23-7018692769894,0-063363,0-545446,6
48,600895,2019,15-4625910158229,0-0198022705869169,0-318926850830607,23-966527275286,0-064509,0-488564,6
48,600895,2020,15-5888514416683,0-0176468617716151,0-293749839152249,24-2142957136609,0-181205,0-557838,6
49,601155,2016,17-7719331506891,0-00313388704233085,0-050368452509326,25-3596498383035,0-223771,0-841351,9
49,601155,2017,17-8620294907038,0-00283570568567978,0-0286389121366107,25-9356257874401,0-339874,0-858431,9
49,601155,2018,17-8345926356858,0-00301292066233118,0-0431367931865302,26-5233229272921,0-410482,0-845734,9
49,601155,2019,17-7876874862122,0-00222899272776274,0-0151778321164702,26-859068969272,0-367205,0-865973,9
49,601155,2020,17-5219843204792,0-0021288841358145,0-00622742051851141,27-0106648753863,0-342757,0-847256,7
